X,Y,OBJECTID,org_name,Name,addrln1,city,state,post_id,zip,latitude,longitude,POINT_X,POINT_Y
-118.4463792,34.18377464,3651,City of LA,Los Angeles Public Library - Van Nuys Branch,6250 Sylmar Ave. Mall,Los Angeles,CA,4457,91401,34.18377467,-118.4463791,6426669.687,1889559.203
-118.2464281,33.94384697,60708,City of LA,Los Angeles Public Library - Alma Reaves Woods - Watts Branch,10205 Compton Ave.,Los Angeles,CA,61389,90002,33.943847,-118.246428,6486927.661,1802036.707
-118.2828631,33.94867497,60710,City of LA,Los Angeles Public Library - Mark Twain Branch,9621 S. Figueroa St.,Los Angeles,CA,61390,90003,33.948675,-118.282863,6475881.741,1803822.809
-118.2924861,33.73548997,60712,City of LA,Los Angeles Public Library - San Pedro Regional Branch,931 S. Gaffey St.,Los Angeles,CA,61391,90731,33.73549,-118.292486,6472737.471,1726247.977
-118.3858041,34.04835397,60714,City of LA,Los Angeles Public Library - Robertson Branch,1719 S. Robertson Blvd.,Los Angeles,CA,61392,90035,34.048354,-118.385804,6444800.466,1840201.625
-118.3192421,34.02569497,60716,City of LA,Los Angeles Public Library - Jefferson - Vassie D. Wright Memorial Branch,2211 W. Jefferson Blvd.,Los Angeles,CA,61393,90018,34.025695,-118.319242,6464937.528,1831884.896
-118.4686211,34.05281297,60718,City of LA,Los Angeles Public Library - Donald Bruce Kaufman Branch,11820 San Vicente Blvd.,Los Angeles,CA,61394,90049,34.052813,-118.468621,6419720.817,1841930.949
-118.311517,34.07434659,60720,City of LA,Los Angeles Public Library - Wilshire Branch,149 N Saint Andrews Pl,Los Angeles,CA,61395,90004,34.07434662,-118.3115169,6467333.156,1849582.74
-118.3291301,34.04003697,60722,City of LA,Los Angeles Public Library - Washington Irving Branch,4117 W. Washington Blvd.,Los Angeles,CA,61396,90018,34.040037,-118.32913,6461958.487,1837113.869
-118.2959621,33.99972197,60724,City of LA,Los Angeles Public Library - Vermont Square Branch,1201 W. 48th St.,Los Angeles,CA,61397,90037,33.999722,-118.295962,6471963.697,1822411.25
-118.2410261,34.05974297,60726,City of LA,Los Angeles Public Library - Chinatown Branch,639 N. Hill St.,Los Angeles,CA,61398,90012,34.059743,-118.241026,6488667.24,1844209.546
-118.4977711,34.26437097,60728,City of LA,Los Angeles Public Library - Granada Hills,10640 Petit Ave.,Los Angeles,CA,61399,91344,34.264371,-118.497771,6411272.347,1918962.302
-118.2124121,34.04422397,60730,City of LA,Los Angeles Public Library - Benjamin Franklin Branch,2200 E. 1st St.,Los Angeles,CA,61400,90033,34.044224,-118.212412,6497322.035,1838542.345
-118.5925431,34.25707897,60732,City of LA,Los Angeles Public Library - Chatsworth Branch,21052 Devonshire St.,Los Angeles,CA,61401,91311,34.257079,-118.592543,6382622.321,1916463.957
-118.5897221,34.20124397,60734,City of LA,Los Angeles Public Library - Canoga Park Branch,20939 Sherman Way,Los Angeles,CA,61402,91303,34.201244,-118.589722,6383355.52,1896139.927
-118.2570771,34.06722797,60736,City of LA,Los Angeles Public Library - Echo Park Branch,1410 W. Temple St.,Los Angeles,CA,61403,90026,34.067228,-118.257077,6483812.615,1846945.518
-118.2436551,34.05020697,60738,City of LA,Los Angeles Public Library - Little Tokyo Branch,203 S. Los Angeles St.,Los Angeles,CA,61404,90012,34.050207,-118.243655,6487862.546,1840741.141
-118.2133011,34.13766397,60740,City of LA,Los Angeles Public Library - Eagle Rock Branch,5027 Caspar Ave.,Los Angeles,CA,61405,90041,34.137664,-118.213301,6497124.878,1872547.42
-118.1978491,34.05058897,60742,City of LA,Los Angeles Public Library - Malabar Branch,2801 Wabash Ave.,Los Angeles,CA,61406,90033,34.050589,-118.197849,6501738.317,1840849.686
-118.2872331,34.10525197,60744,City of LA,Los Angeles Public Library - Los Feliz Branch,1874 Hillhurst Ave.,Los Angeles,CA,61407,90027,34.105252,-118.287233,6474719.207,1860807.843
-118.4503441,34.30735597,60746,City of LA,Los Angeles Public Library - Sylmar Branch,14561 Polk St.,Los Angeles,CA,61408,91342,34.307356,-118.450344,6425672.062,1934537.596
-118.4291781,34.26120497,60748,City of LA,Los Angeles Public Library - Pacoima Branch,13605 Van Nuys Blvd.,Los Angeles,CA,61409,91331,34.261205,-118.429178,6431992.18,1917714.588
-118.3282968,34.10043863,60750,City of LA,Los Angeles Public Library - Frances Howard Goldwyn Hollywood Regional Branch,1623 N Ivar Ave,Los Angeles,CA,61410,90028,34.10043866,-118.3282967,6462282.731,1859094.248
-118.4289741,34.00590997,60752,City of LA,Los Angeles Public Library - Mar Vista Branch,12006 Venice Blvd.,Los Angeles,CA,61411,90066,34.00591,-118.428974,6431657.329,1824808.549
-118.3525341,34.02849197,60754,City of LA,Los Angeles Public Library - Baldwin Hills Branch,2906 S. La Brea Ave.,Los Angeles,CA,61412,90016,34.028492,-118.352534,6454853.403,1832936.482
-118.3087161,34.01446097,60756,City of LA,Los Angeles Public Library - Exposition Park Branch,3900 S. Western Ave.,Los Angeles,CA,61413,90062,34.014461,-118.308716,6468114.421,1827786.675
-118.3533281,34.07170197,60758,City of LA,Los Angeles Public Library Library - Fairfax Branch,161 S. Gardner St.,Los Angeles,CA,61414,90036,34.071702,-118.353328,6454668.098,1848662.191
-118.1682898,34.08938823,60760,City of LA,Los Angeles Public Library - El Sereno Branch,5226 Huntington Dr S,Los Angeles,CA,61415,90032,34.08938826,-118.1682897,6510715.99,1854953.153
-118.4172621,33.95959897,60762,City of LA,Los Angeles Public Library - Westchester-Loyola Village Branch,7114 W. Manchester Ave.,Los Angeles,CA,61416,90045,33.959599,-118.417262,6435137.009,1807940.21
-118.3792131,34.16525997,60764,City of LA,Los Angeles Public Library - North Hollywood - Amelia M. Earhart Regional Branch,5211 Tujunga Ave.,Los Angeles,CA,61417,91601,34.16526,-118.379213,6446957.539,1882738.006
-118.2744731,33.97455997,60766,City of LA,Los Angeles Public Library - Ascot Branch,120 W. Florence,Los Angeles,CA,61418,90003,33.97456,-118.274473,6478452.032,1813235.828
-118.3012391,34.25794897,60768,City of LA,Los Angeles Public Library - Sunland-Tujunga Branch,7771 Foothill Blvd.,Los Angeles,CA,61419,91042,34.257949,-118.301239,6470645.857,1916389.224
-118.3318611,34.05658397,60770,City of LA,Los Angeles Public Library - Memorial Branch,4625 W. Olympic Blvd.,Los Angeles,CA,61420,90019,34.056584,-118.331861,6461150.999,1843138.332
-118.2142801,34.07625197,60772,City of LA,Los Angeles Public Library - Biblioteca Del Pueblo De Lincoln Heights,2530 Workman St.,Los Angeles,CA,61421,90031,34.076252,-118.21428,6496780.989,1850199.128
-118.3453331,34.09779997,60774,City of LA,Los Angeles Public Library - Will And Ariel Durant Branch,7140 W. Sunset Blvd.,Los Angeles,CA,61422,90046,34.0978,-118.345333,6457121.932,1858151.277
-118.4181613,34.03348705,60776,City of LA,Los Angeles Public Library - Palms-Rancho Park Branch,2920 Overland Ave,Los Angeles,CA,61423,90064,34.03348708,-118.4181612,6434976.192,1834830.506
-118.5300031,34.16655197,60778,City of LA,Los Angeles Public Library - Encino-Tarzana Branch,18231 Ventura Blvd.,Los Angeles,CA,61424,91356,34.166552,-118.530003,6401346.066,1883414.48
-118.5340151,34.23516597,60780,City of LA,Los Angeles Public Library - Northridge Branch,9051 Darby Ave.,Los Angeles,CA,61425,91325,34.235166,-118.534015,6400265.115,1908390.426
-118.4653001,33.98737497,60782,City of LA,Los Angeles Public Library - Venice - Abbot Kinney Memorial Branch,501 S. Venice Blvd.,Los Angeles,CA,61426,90291,33.987375,-118.4653,6420616.534,1818112.328
-118.2629051,33.78901697,60784,City of LA,Los Angeles Public Library - Wilmington Branch,1300 N. Avalon Blvd.,Los Angeles,CA,61427,90744,33.789017,-118.262905,6481782.755,1745703.098
-118.4504521,34.04574597,60786,City of LA,Los Angeles Public Library - West Los Angeles Regional Branch,11360 Santa Monica Blvd.,Los Angeles,CA,61428,90025,34.045746,-118.450452,6425212.808,1839333.995
-118.2836871,34.06329897,60788,City of LA,Los Angeles Public Library - Felipe De Neve Branch,2820 W. Sixth St.,Los Angeles,CA,61429,90057,34.063299,-118.283687,6475749.56,1845537.363
-118.2590511,34.11998997,60790,City of LA,Los Angeles Public Library - Atwater Village Branch,3379 Glendale Blvd.,Los Angeles,CA,61430,90039,34.11999,-118.259051,6483264.259,1866148.075
-118.5592881,34.27726397,60792,City of LA,Los Angeles Public Library - Porter Ranch Branch,11371 Tampa Ave.,Los Angeles,CA,61431,91326,34.277264,-118.559288,6392711.71,1923751.959
-118.2273401,34.09458597,60794,City of LA,Los Angeles Public Library - Cypress Park Branch,1150 Cypress Ave.,Los Angeles,CA,61432,90065,34.094586,-118.22734,6492841.191,1856879.888
-118.3705781,34.21480997,60796,City of LA,Los Angeles Public Library - Sun Valley Branch,7935 Vineland Ave.,Los Angeles,CA,61433,91352,34.21481,-118.370578,6449636.113,1900760.283
-118.4463221,34.22174897,60798,City of LA,Los Angeles Public Library - Panorama City Branch,14345 Roscoe Blvd.,Los Angeles,CA,61434,91402,34.221749,-118.446322,6426748.318,1903378.535
-118.6106191,34.16841397,60800,City of LA,Los Angeles Public Library - Woodland Hills Branch,22200 Ventura Blvd.,Los Angeles,CA,61435,91364,34.168414,-118.610619,6376964.373,1884230.443
-118.3178031,33.97472597,60802,City of LA,Los Angeles Public Library - Hyde Park - Miriam Matthews Branch,2205 Florence Ave.,Los Angeles,CA,61436,90043,33.974726,-118.317803,6465314.91,1813334.942
-118.4436891,34.15113697,60804,City of LA,Los Angeles Public Library - Sherman Oaks Martin Pollard Branch,14245 Moorpark St.,Los Angeles,CA,61437,91423,34.151137,-118.443689,6427430.835,1877678.276
-118.2921751,33.98152797,60806,City of LA,Los Angeles Public Library - John Muir Branch,1005 W. 64th St.,Los Angeles,CA,61438,90044,33.981528,-118.292175,6473092.295,1815786.747
-118.2563081,34.00260397,60808,City of LA,Los Angeles Public Library - Vernon Branch,4504 S. Central Ave.,Los Angeles,CA,61439,90011,34.002604,-118.256308,6483985.544,1823427.048
-118.2741921,34.00167397,60810,City of LA,Los Angeles Public Library - Junipero Serra Branch,4607 S. Main St.,Los Angeles,CA,61440,90037,34.001674,-118.274192,6478564.145,1823102.907
-118.3337191,34.08361797,60812,City of LA,Los Angeles Public Library - John C. Fremont Branch,6121 Melrose Ave.,Los Angeles,CA,61441,90038,34.083618,-118.333719,6460620.883,1852978.332
-118.2890251,34.09100997,60814,City of LA,Los Angeles Public Library - Cahuenga Branch,4591 Santa Monica Blvd.,Los Angeles,CA,61442,90029,34.09101,-118.289025,6474161.831,1855626.488
-118.5249871,34.04436897,60816,City of LA,Los Angeles Public Library - Palisades Branch,861 Alma Real Dr.,Los Angeles,CA,61443,90272,34.044369,-118.524987,6402631.146,1838942.44
-118.4058061,34.15050397,60818,City of LA,Los Angeles Public Library - Studio City Branch,12511 Moorpark St.,Los Angeles,CA,61444,91604,34.150504,-118.405806,6438891.46,1877399.486
-118.1981071,34.02753397,60820,City of LA,Los Angeles Public Library - Robert Louis Stevenson Branch,803 Spence St.,Los Angeles,CA,61445,90023,34.027534,-118.198107,6501643.629,1832459.687
-118.5478531,34.19368897,60822,City of LA,Los Angeles Public Library - West Valley Regional Branch,19036 Vanowen St.,Los Angeles,CA,61446,91335,34.193689,-118.547853,6396000.374,1893318.929
-118.3076311,34.06000497,60824,City of LA,Los Angeles Public Library - Pio Pico Koreatown Branch,694 S. Oxford Ave.,Los Angeles,CA,61447,90005,34.060005,-118.307631,6468493.952,1844359.949
